disease,drug
hyperthyroidism,"methimazole, propylthiouracil, potassium iodide, iodine / potassium iodide, sodium iodide-i-131"
hypertriglyceridemia,"fenofibrate, omega-3 polyunsaturated fatty acids, fenofibric acid, icosapent, rosuvastatin"
hypertrophic cardiomyopathy,nifedipine
hyperuricemia secondary to chemotherapy,"allopurinol, sodium bicarbonate, rasburicase"
hypoactive sexual desire disorder,"flibanserin, bremelanotide"
hypocalcemia,"calcitriol, calcium carbonate, calcium gluconate, ergocalciferol, parathyroid hormone, calcifediol, calcium chloride, calcium lactate, calcium phosphate, tribasic"
hypodermoclysis,hyaluronidase
hypoestrogenism,"estradiol, conjugated estrogens, estradiol / norethindrone, estropipate, esterified estrogens, ethinyl estradiol"
hypoglycemia,"glucagon, diazoxide"
"hypogonadism, male","testosterone, chorionic gonadotropin (hcg), follicle stimulating hormone, methyltestosterone"
hypokalemia,"potassium chloride, spironolactone, potassium gluconate, potassium bicarbonate, potassium bicarbonate / potassium chloride"
hypokalemic periodic paralysis,"acetazolamide, dichlorphenamide"
hypomagnesemia,"magnesium oxide, magnesium sulfate, magnesium chloride, magnesium amino acids chelate, magnesium gluconate, magnesium carbonate"
hyponatremia,"tolvaptan, urea, sodium acetate"
hypoparathyroidism,"calcitriol, ergocalciferol, parathyroid hormone, teriparatide, calcium lactate, calcium phosphate, tribasic"
hypophosphatasia,asfotase alfa
hypophosphatemia,"potassium phosphate / sodium phosphate, ergocalciferol, potassium phosphate, sodium phosphate"
hypopituitarism,somatropin
hypoproteinemia,albumin human
"hypoprothrombinemia, anticoagulant induced",phytonadione
"hypoprothrombinemia, not associated with anticoagulant therapy",phytonadione
"hypoprothrombinemia, prophylaxis",phytonadione
hypotension,"midodrine, norepinephrine, phenylephrine, ephedrine, droxidopa"
"hypothyroidism, after thyroid removal (hypothyroidism, post-thyroidectomy)","levothyroxine, thyroid desiccated, liothyronine"
hypovolemia,"hetastarch, hydroxyethyl starch"
hysterectomy,piperacillin
hysterosalpingography,iohexol
icu agitation,"haloperidol, midazolam, lorazepam, diazepam"
iv catheter clot,alteplase
ichthyosis,ammonium lactate
idiopathic hypertrophic subaortic stenosis,verapamil
idiopathic pulmonary fibrosis,"pirfenidone, nintedanib, interferon gamma-1b"
idiopathic short stature,somatropin
idiopathic thrombocytopenic purpura,"prednisone, dexamethasone, eltrombopag, rituximab, romiplostim, cyclosporine, immune globulin intravenous, azathioprine, triamcinolone, rho (d) immune globulin, immune globulin intravenous and subcutaneous, interferon alfa-2b"
iga nephropathy,cyclophosphamide
immunodeficiency,pegademase bovine
immunosuppression,"prednisone, prednisolone, methylprednisolone"
impetigo,"mupirocin, cefadroxil, cefuroxime, retapamulin, sulconazole, ozenoxacin, ammoniated mercury"
inclusion conjunctivitis,doxycycline
indigestion,"omeprazole, ranitidine, famotidine, bismuth subsalicylate, aluminum hydroxide / magnesium hydroxide / simethicone, calcium carbonate, magnesium hydroxide"
induced hypotension,nitroprusside
infection prophylaxis,"sulfamethoxazole / trimethoprim, ciprofloxacin, ertapenem"
infectious diarrhea,ciprofloxacin
infectious mononucleosis,acyclovir
inflammatory bowel disease,"prednisone, budesonide, mesalamine, sulfasalazine, hydrocortisone, azathioprine, dexamethasone, mercaptopurine, infliximab, cyclosporine, corticotropin, cromolyn"
inflammatory conditions,"meloxicam, prednisone, methylprednisolone, prednisolone, dexamethasone, betamethasone, hydrocortisone, magnesium salicylate, tolmetin"
influenza,"oseltamivir, amantadine, acetaminophen / dextromethorphan / guaifenesin / phenylephrine, zanamivir, acetaminophen / chlorpheniramine, acetaminophen / chlorpheniramine / dextromethorphan / pseudoephedrine, peramivir, acetaminophen / chlorpheniramine / dextromethorphan, acetaminophen / dextromethorphan / diphenhydramine, baloxavir marboxil"
influenza a,"amantadine, rimantadine"
influenza prophylaxis,"influenza virus vaccine, inactivated, oseltamivir, amantadine, influenza virus vaccine, live, trivalent, rimantadine, zanamivir"
inhibition of intraoperative miosis,"diclofenac, flurbiprofen"
insect bites,"benzocaine, pramoxine / zinc acetate"
insomnia,"trazodone, zolpidem, temazepam, amitriptyline, lorazepam, clonazepam, mirtazapine, doxepin, quetiapine, eszopiclone, diphenhydramine, gabapentin, flurazepam"
"insomnia, stimulant-associated",clonidine
insulin resistance syndrome (metabolic syndrome),"metformin, insulin regular"
insulinoma,octreotide
intermittent claudication,"cilostazol, pentoxifylline"
intermittent explosive disorder,"fluoxetine, quetiapine, paroxetine, propranolol, lithium"
interstitial cystitis,"phenazopyridine, amitriptyline, hydroxyzine, pentosan polysulfate sodium, trospium, imipramine, dimethyl sulfoxide"
interstitial lung disease,prednisone
intertrigo,"clotrimazole, hydrocortisone, miconazole"
intestinal arterial insufficiency,mercaptopurine
intra- or post-op svt or hypertension,esmolol
intra-arterial digital subtraction angiography,"iodixanol, ioversol, iopromide"
intraabdominal infection,"meropenem, ciprofloxacin, metronidazole, clindamycin, piperacillin / tazobactam, ceftriaxone, moxifloxacin, amikacin, cefotaxime, cefepime, ceftazidime, gentamicin, doripenem, tigecycline"
intraocular hypertension,"latanoprost, timolol, brimonidine, dorzolamide / timolol, dorzolamide, travoprost, bimatoprost, brimonidine / timolol, pilocarpine, brinzolamide, levobunolol"
intravenous digital subtraction angiography,ioversol
intravenous urography,ioversol
iridocyclitis,"prednisone, corticotropin, dexamethasone, triamcinolone, cortisone"
iritis,"prednisolone, prednisone, dexamethasone, loteprednol, triamcinolone, loteprednol / tobramycin, corticotropin, cortisone"
iron deficiency anemia,"ferrous sulfate, ferrous gluconate, ferrous fumarate, iron polysaccharide, ferumoxytol, iron sucrose"
iron overload,"deferasirox, deferiprone"
"iron poisoning, acute",deferoxamine
"iron poisoning, chronic",deferoxamine
irritable bowel syndrome,"dicyclomine, hyoscyamine, amitriptyline, chlordiazepoxide / clidinium, atropine / hyoscyamine / phenobarbital / scopolamine, cholestyramine, escitalopram, nortriptyline, psyllium, venlafaxine"
ischemic stroke,"clopidogrel, aspirin, alteplase, nimodipine"
"ischemic stroke, prophylaxis","aspirin, clopidogrel, pravastatin, aspirin / dipyridamole"
japanese encephalitis virus prophylaxis,"japanese enceph vacc sa14-14-2, inactivated"
jet lag,armodafinil
joint infection,"clindamycin, ciprofloxacin, cefuroxime, metronidazole, ceftriaxone, cefazolin, amikacin, ceftazidime, penicillin g sodium"
juvenile idiopathic arthritis,"methotrexate, etanercept, tocilizumab, adalimumab, canakinumab, infliximab, abatacept"
juvenile rheumatoid arthritis,"meloxicam, naproxen, prednisone, sulfasalazine, celecoxib, etodolac, aspirin, ibuprofen, dexamethasone, etanercept, oxaprozin, sulindac"
kaposi's sarcoma,"paclitaxel, vinblastine, doxorubicin liposomal, interferon alfa-2b, alitretinoin"
kawasaki disease (mucocutaneous lymph node syndrome),"aspirin, immune globulin intravenous, infliximab"
keloids,triamcinolone
keratitis,"prednisolone, dexamethasone / tobramycin, loteprednol, dexamethasone, prednisone, triamcinolone, bacitracin / neomycin / polymyxin b, corticotropin, dexamethasone / neomycin / polymyxin b, prednisolone / sulfacetamide sodium, hydrocortisone / neomycin / polymyxin b"
keratoconjunctivitis,"diclofenac, dexamethasone / neomycin / polymyxin b, prednisolone / sulfacetamide sodium, cromolyn, bacitracin / neomycin / polymyxin b, lodoxamide, gentamicin / prednisolone, hydrocortisone / neomycin / polymyxin b, bacitracin / polymyxin b"
keratosis,"fluorouracil, imiquimod, diclofenac, collagenase, ingenol, aminolevulinic acid, methyl aminolevulinate"
kidney infections (pyelonephritis),"ciprofloxacin, cephalexin, sulfamethoxazole / trimethoprim, levofloxacin, amoxicillin / clavulanate, ceftriaxone, cefuroxime, methenamine, cefazolin, cefepime, cefotaxime, cefpodoxime"
klinefelter syndrome,testosterone
labor induction,"oxytocin, misoprostol, dinoprostone"
labor pain,"butorphanol, oxymorphone, ropivacaine"
lactation augmentation,metoclopramide
lactation suppression,clomiphene
lactose intolerance,lactase
lambert-eaton myasthenic syndrome,amifampridine
langerhans' cell histiocytosis,indomethacin
laryngopharyngeal reflux,"omeprazole, pantoprazole, ranitidine, lansoprazole, famotidine, aluminum hydroxide / magnesium hydroxide / simethicone, cimetidine"
"lead poisoning, mild",edetate calcium disodium
"lead poisoning, severe","succimer, edetate calcium disodium"
left ventricular dysfunction,"carvedilol, metoprolol, ramipril, valsartan, enalapril, benazepril, captopril, perindopril, quinapril, fosinopril, moexipril, trandolapril"
left ventriculography,"ioversol, iopromide"
legionella pneumonia,"azithromycin, clarithromycin, erythromycin, rifampin"
leishmaniasis,"allopurinol, amphotericin b, amphotericin b liposomal, pentamidine, miltefosine, amphotericin b lipid complex"
lemierre's syndrome,"chloramphenicol, metronidazole, clindamycin, cilastatin / imipenem"
lennox-gastaut syndrome,"clobazam, rufinamide, topiramate, felbamate, cannabidiol"
leprosy,"dapsone, rifampin, clofazimine"
"leprosy, borderline",rifampin
"leprosy, dapsone-resistant",clofazimine
"leprosy, dapsone-sensitive",clofazimine
"leprosy, erythema nodosum leprosum","thalidomide, clofazimine"
"leprosy, lepromatous",dapsone
"leprosy, tuberculoid","rifampin, dapsone"
leptospirosis,"ampicillin, penicillin g potassium, penicillin g sodium"
leukemia,"prednisone, dexamethasone, cytarabine, dasatinib, idarubicin, triamcinolone, fludarabine"
leukocytoclastic vasculitis,"dapsone, idarubicin"
lewy body dementia,"donepezil, rivastigmine"
lhermitte's sign,gabapentin
lice,"permethrin, lindane, piperonyl butoxide / pyrethrins, spinosad"
lichen planus,"clobetasol, triamcinolone, prednisone, betamethasone, fluocinonide"
lichen sclerosus,"clobetasol, fluocinolone, betamethasone, triamcinolone, prednisone, fluticasone, tretinoin"
lichen simplex chronicus,"triamcinolone, doxepin, aloe polysaccharides / iodoquinol"
light anesthesia,"midazolam, diazepam, lorazepam, cisatracurium"
light sedation,"diazepam, midazolam, promethazine, chlorpromazine, meperidine, chlordiazepoxide, secobarbital, levorphanol"
linear iga disease,"dapsone, colchicine, mycophenolate mofetil"
lipodystrophy,"tesamorelin, metreleptin"
liposarcoma,"eribulin, palbociclib"
lithium tremor,nadolol
liver fluke (clornorchis sinensis),"albendazole, praziquantel"
liver magnetic resonance imaging,gadoxetate disodium
liver metastasis in adenocarcinoma,floxuridine
local anesthesia,"lidocaine, bupivacaine, mepivacaine, cocaine, articaine / epinephrine, ropivacaine, epinephrine / lidocaine, tetracaine, dibucaine, chloroprocaine"
loeffler's syndrome (pulmonary eosinophilia),"prednisone, dexamethasone, triamcinolone, cortisone"
loiasis,albendazole
long qt syndrome,nadolol
lower limb spasticity,"onabotulinumtoxinA, abobotulinumtoxinA"
lyme disease,"doxycycline, cefuroxime, ceftriaxone, erythromycin, cefotaxime"
"lyme disease, arthritis","hydroxychloroquine, doxycycline, amoxicillin, tetracycline, ceftriaxone, cefotaxime"
"lyme disease, carditis","amoxicillin, doxycycline, cefotaxime, ceftriaxone, tetracycline"
"lyme disease, erythema chronicum migrans","azithromycin, doxycycline, amoxicillin, penicillin v potassium, tetracycline"
"lyme disease, neurologic","doxycycline, amoxicillin, tetracycline, ceftriaxone, cefotaxime, penicillin g potassium"
lymphangioleiomyomatosis,sirolimus
lymphocytic colitis,"loperamide, sulfasalazine, mesalamine, bismuth subsalicylate"
lymphogranuloma venereum,"erythromycin, doxycycline"
lymphoma,"prednisone, dexamethasone, doxorubicin, methotrexate, brentuximab, chlorambucil, lenalidomide, ibrutinib, nelarabine, bortezomib, pralatrexate"
lysosomal acid lipase deficiency,sebelipase alfa
macrophage activation syndrome,etanercept
macular degeneration,"ranibizumab, aflibercept, bevacizumab, verteporfin, pegaptanib, brolucizumab"
macular edema,"dexamethasone, ranibizumab, aflibercept, fluocinolone"
magnetic resonance angiography,gadobenate dimeglumine
major depressive disorder,"bupropion, sertraline, trazodone, venlafaxine, fluoxetine, mirtazapine, duloxetine, escitalopram"
malaria,"artemether / lumefantrine, mefloquine, doxycycline, chloroquine, hydroxychloroquine, atovaquone / proguanil, clindamycin, primaquine, atovaquone"
malaria prevention (malaria prophylaxis),"doxycycline, atovaquone / proguanil, mefloquine, chloroquine, hydroxychloroquine, primaquine, pyrimethamine, tafenoquine"
malignant glioma,"carmustine, bevacizumab"
malignant hyperthermia,dantrolene
malignant pleural effusion,bleomycin
malignant pleural mesothelioma,pemetrexed
mania,"divalproex sodium, lithium, risperidone, haloperidol, allopurinol, chlorpromazine, valproic acid"
manscaping pain,lidocaine
mantle cell lymphoma,"ibrutinib, rituximab, lenalidomide, bortezomib, methotrexate, cyclophosphamide, acalabrutinib, cytarabine, doxorubicin, mitoxantrone, vincristine, zanubrutinib"
mccune-albright syndrome,"tamoxifen, anastrozole"
measles,immune globulin intramuscular
measles prophylaxis,"measles virus vaccine / mumps virus vaccine / rubella virus vaccine, measles virus vaccine, measles virus vaccine / mumps virus vaccine / rubella virus vaccine / varicella virus vaccine"
medical procedures,"sodium chloride, formaldehyde"
melanoma,"interferon alfa-2b, nivolumab, ipilimumab, pembrolizumab, dacarbazine, aldesleukin, temozolomide, peginterferon alfa-2b, talimogene laherparepvec"
"melanoma, metastatic","ipilimumab, nivolumab, trametinib, dabrafenib, pembrolizumab, temozolomide, vemurafenib, isotretinoin, dacarbazine, peginterferon alfa-2b, aldesleukin, cobimetinib, talimogene laherparepvec"
melasma,"fluocinolone / hydroquinone / tretinoin, tranexamic acid"
melioidosis,"sulfamethoxazole / trimethoprim, amoxicillin / clavulanate, doxycycline, ceftazidime"
meniere's disease,diazepam
meningeal leukemia,"methotrexate, cytarabine"
meningitis,"ceftriaxone, meropenem, vancomycin, sulfamethoxazole / trimethoprim, metronidazole, cefotaxime, rifampin, chloramphenicol, amikacin, triamcinolone, gentamicin, ampicillin, ceftazidime, cefuroxime, cilastatin / imipenem"
"meningitis, haemophilus influenzae",dexamethasone
"meningitis, listeriosis",dexamethasone
"meningitis, meningococcal","dexamethasone, minocycline, penicillin g sodium, meningococcal group B vaccine, penicillin g potassium"
"meningitis, pneumococcal","dexamethasone, penicillin g potassium, penicillin g sodium"
"meningitis, streptococcus group b","penicillin g potassium, penicillin g sodium"
meningococcal meningitis prophylaxis,"ceftriaxone, ciprofloxacin, rifampin, meningococcal conjugate vaccine, meningococcal group B vaccine"
menopausal disorders,"esterified estrogens / methyltestosterone, estradiol / progesterone"
menorrhagia,"tranexamic acid, dienogest / estradiol"
menstrual disorders,"tranexamic acid, drospirenone / ethinyl estradiol, ethinyl estradiol / norethindrone"
mercury poisoning,dimercaprol
merkel cell carcinoma,"avelumab, pembrolizumab"
metabolic acidosis,"sodium bicarbonate, citric acid / potassium citrate / sodium citrate"
"metagonimus yokogawai, intestinal fluke",praziquantel
methanol poisoning,fomepizole
methemoglobinemia,methylene blue
methicillin-resistant staphylococcus aureus infection,"vancomycin, linezolid, daptomycin, ofloxacin, dalfopristin / quinupristin"
methotrexate overdosage,"levoleucovorin, leucovorin, glucarpidase"
methotrexate rescue,"leucovorin, levoleucovorin"
microscopic polyangiitis,rituximab
microsporidiosis,"itraconazole, albendazole"
migraine,"sumatriptan, rizatriptan, gabapentin, aspirin / butalbital / caffeine, cyclobenzaprine, diclofenac, naratriptan, almotriptan, zolmitriptan, eletriptan"
migraine prevention (migraine prophylaxis),"topiramate, propranolol, amitriptyline, verapamil, nortriptyline, amlodipine, atenolol, baclofen, lisinopril, divalproex sodium, clonazepam, zonisamide, olmesartan, metoprolol"
mild cognitive impairment,donepezil
minor burns,vitamin a & d
minor cuts,"pramoxine / zinc acetate, benzethonium chloride"
minor skin conditions,"vitamin a & d, benzoin"
minor skin irritation,"vitamin a & d, pramoxine / zinc acetate, camphor / menthol"
mitral valve prolapse,"atenolol, metoprolol, propranolol, bisoprolol, nebivolol, nadolol, labetalol"
mixed connective tissue disease,prednisone
molluscum contagiosum,imiquimod
moniliformis infection,pyrantel
monkeypox prophylaxis,smallpox and monkeypox vaccine
mononucleosis,acyclovir
motion sickness,"meclizine, promethazine, scopolamine, dimenhydrinate, diphenhydramine"
mountain sickness / altitude sickness,"acetazolamide, dexamethasone"
muckle wells syndrome,"canakinumab, rilonacept"
mucopolysaccharidosis type i,laronidase
mucopolysaccharidosis type ii,idursulfase
mucopolysaccharidosis type iv,elosulfase alfa
mucopolysaccharidosis type vi,galsulfase
mucopolysaccharidosis type vii,vestronidase alfa
"mucormycosis, invasive",isavuconazonium
mucositis,"chlorhexidine, palifermin, saliva substitutes, sodium hyaluronate"
multicentric castlemanâs disease,siltuximab
multifocal motor neuropathy,immune globulin intravenous and subcutaneous
multiple endocrine adenomas,"omeprazole, lansoprazole"
multiple myeloma,"dexamethasone, thalidomide, cyclophosphamide, lenalidomide, bortezomib, carfilzomib, pomalidomide, daratumumab, melphalan"
multiple sclerosis,"prednisone, glatiramer, dalfampridine, fingolimod, interferon beta-1a, dexamethasone, dimethyl fumarate, natalizumab, teriflunomide"
mumps prophylaxis,"measles virus vaccine / mumps virus vaccine / rubella virus vaccine / varicella virus vaccine, measles virus vaccine / mumps virus vaccine / rubella virus vaccine, mumps virus vaccine"
muscle pain,"ibuprofen, naproxen, acetaminophen, diclofenac, nabumetone"
muscle spasm (involuntary hypertonicity),"cyclobenzaprine, tizanidine, baclofen, methocarbamol, diazepam, carisoprodol, metaxalone, chlorzoxazone, orphenadrine, aspirin / caffeine / orphenadrine, aspirin / carisoprodol, aspirin / carisoprodol / codeine"
muscle twitching (fasciculations),baclofen
myasthenia gravis,"pyridostigmine, azathioprine, mycophenolate mofetil, neostigmine, immune globulin intravenous, ephedrine, eculizumab"
"mycobacterium avium-intracellulare, prophylaxis","azithromycin, ethambutol, clarithromycin, rifabutin"
"mycobacterium avium-intracellulare, treatment","ethambutol, azithromycin, rifampin, clarithromycin, rifabutin, ciprofloxacin, ofloxacin, streptomycin, amikacin liposome"
mycobacterium kansasii,isoniazid
mycoplasma pneumonia,"azithromycin, clarithromycin, doxycycline, erythromycin, minocycline"
mycosis fungoides,"prednisone, dexamethasone, methotrexate, mechlorethamine, brentuximab, cyclophosphamide, vinblastine, mogamulizumab"
myelodysplastic diseases,"lenalidomide, imatinib"
myelodysplastic syndrome,"filgrastim, azacitidine, decitabine"
myelofibrosis,"ruxolitinib, fedratinib"
myelography,iohexol
myeloproliferative disorders,"ruxolitinib, imatinib"
"myocardial infarction, prophylaxis","aspirin, pravastatin, clopidogrel, prasugrel, ticagrelor"
myopathy,azathioprine
myopic choroidal neovascularization,ranibizumab
myotonia congenita,"mexiletine, phenytoin, procainamide"
myxedema,liothyronine
myxedema coma,"levothyroxine, liothyronine"
nsaid-induced gastric ulcer,"esomeprazole, lansoprazole"
nsaid-induced ulcer prophylaxis,"misoprostol, lansoprazole, esomeprazole / naproxen, famotidine / ibuprofen"
nail dystrophy,poly-ureaurethane
naophyetus salmincola,praziquantel
narcolepsy,"modafinil, methylphenidate, dextroamphetamine, amphetamine / dextroamphetamine, armodafinil, amphetamine, desvenlafaxine, sodium oxybate, ephedrine, lisdexamfetamine, solriamfetol"
nasal carriage of staphylococcus aureus,"mupirocin, rifampin"
nasal congestion,"pseudoephedrine, phenylephrine, oxymetazoline, loratadine / pseudoephedrine, sodium chloride, epinephrine, xylometazoline"
nasal polyps,"fluticasone, mometasone, beclomethasone"
"nasal polyps, prevention",beclomethasone
nausea/vomiting,"ondansetron, promethazine, metoclopramide, prochlorperazine, meclizine, lorazepam, hydroxyzine, diphenhydramine, scopolamine, dimenhydrinate"
nausea/vomiting of pregnancy,"doxylamine / pyridoxine, calcium / folic acid / ginger / pyridoxine"
"nausea/vomiting, chemotherapy induced","ondansetron, dexamethasone, lorazepam, metoclopramide, dronabinol, aprepitant, gabapentin, granisetron, palonosetron, olanzapine, nabilone"
"nausea/vomiting, postoperative","ondansetron, metoclopramide, aprepitant, droperidol, granisetron, palonosetron"
"nausea/vomiting, radiation induced","ondansetron, granisetron"
neck pain,"ibuprofen, naproxen, acetaminophen"
necrobiosis lipoidica diabeticorum,"clobetasol, tretinoin"
neonatal abstinence syndrome,morphine
neonatal conjunctivitis,azithromycin
neoplastic diseases,methotrexate
nephrocalcinosis,hydrochlorothiazide
nephrolithiasis,potassium citrate
nephropathic cystinosis,cysteamine
nephropathy,"lisinopril, methylprednisolone"
nephrotic syndrome,"prednisone, mycophenolate mofetil, prednisolone, cyclophosphamide, cyclosporine, triamcinolone, hydrochlorothiazide / spironolactone, azathioprine, cortisone, tacrolimus"
nerve agent poisoning,"atropine / pralidoxime, pralidoxime"
nerve agent pretreatment,pyridostigmine
neuralgia,"baclofen, nortriptyline, pregabalin, methylprednisolone, levetiracetam, citalopram, desvenlafaxine"
neuritis,"interferon beta-1a, triamcinolone"
neuroblastoma,"vincristine, cisplatin, cyclophosphamide, dinutuximab, doxorubicin"
neurocysticercosis,albendazole
neuroendocrine carcinoma,"lanreotide, everolimus, lutetium lu 177 dotatate"
neurofibromatosis,bevacizumab
neuroleptic malignant syndrome,"carbidopa / levodopa, carbidopa"
neurological disorders,guanidine
neuromyelitis optica,eculizumab
neuronal ceroid lipofuscinosis,cerliponase alfa
neuropathic pain,"gabapentin, pregabalin, oxcarbazepine, lidocaine, amitriptyline, doxepin"
neurosarcoidosis,"prednisone, dexamethasone, infliximab, azathioprine"
neurosis,nortriptyline
neurosurgery,phenytoin
neurosyphilis,"ceftriaxone, penicillin g sodium, procaine penicillin, penicillin g benzathine, penicillin g potassium"
neurotic depression,amitriptyline
neurotrophic keratitis,cenegermin
neutropenia,filgrastim
neutropenia associated with aids or zidovudine,filgrastim
neutropenia associated with chemotherapy,"pegfilgrastim, filgrastim, sargramostim, tbo-filgrastim"
neutropenia associated with radiation,"filgrastim, pegfilgrastim, sargramostim"
new daily persistent headache,"sumatriptan, levetiracetam"
niacin deficiency,"niacin, niacinamide"
niacin flush,aspirin
niemann-pick disease,miglustat
night terrors,"clonazepam, diazepam, imipramine"
nightmares,"prazosin, risperidone"
nocardiosis,sulfamethoxazole / trimethoprim
nocturia,desmopressin
nocturnal leg cramps,"vitamin e, carisoprodol, verapamil"
non-24-hour sleep wake disorder,tasimelteon
non-hodgkin's lymphoma,"cyclophosphamide, vincristine, rituximab, methotrexate, bendamustine, cytarabine, fludarabine, bleomycin, carmustine, idelalisib, ibritumomab, ibrutinib, mitoxantrone"
non-small cell lung cancer,"cisplatin, erlotinib, pemetrexed, nivolumab, bevacizumab, paclitaxel, gefitinib, crizotinib, methotrexate"
nonalcoholic fatty liver disease,"ursodiol, pioglitazone, orlistat, betaine, rosiglitazone"
nongonococcal urethritis,"azithromycin, doxycycline, erythromycin, levofloxacin, clarithromycin, metronidazole"
noninfectious colitis,"dicyclomine, belladonna"
nonketotic hyperosmolar syndrome,"insulin regular, insulin glulisine, insulin lispro, insulin aspart"
nonobstructive oliguria,"dopamine, furosemide, torsemide, ethacrynic acid"
nonoccupational exposure,"lamivudine / zidovudine, atazanavir, lamivudine, tenofovir, emtricitabine / tenofovir, abacavir / lamivudine, abacavir, zidovudine, efavirenz, lopinavir / ritonavir"
noonan's syndrome,somatropin
nosocomial pneumonia,"meropenem, levofloxacin, ciprofloxacin, vancomycin, linezolid, piperacillin / tazobactam, ceftazidime, cefepime, amikacin, cilastatin / imipenem"
obesity,"phentermine, topiramate, phendimetrazine, bupropion, orlistat, diethylpropion, methamphetamine, lorcaserin, phentermine / topiramate, bupropion / naltrexone"
obsessive compulsive disorder,"sertraline, fluvoxamine, fluoxetine, clomipramine, clonazepam, escitalopram, citalopram, paroxetine, quetiapine, tramadol, venlafaxine, mirtazapine, ondansetron, ziprasidone, olanzapine, aripiprazole"
obstructive sleep apnea/hypopnea syndrome,"modafinil, armodafinil, solriamfetol"
occipital neuralgia,"gabapentin, carbamazepine, citalopram, pregabalin"
occupational exposure,"lamivudine / zidovudine, efavirenz, emtricitabine / tenofovir, raltegravir, zidovudine, tenofovir, abacavir, lamivudine, emtricitabine, abacavir / lamivudine"
ocular fungal infection,voriconazole
ocular rosacea,"doxycycline, minocycline, erythromycin, tetracycline"
oligospermia,clomiphene
oliguria,"furosemide, mannitol"
"onchocerciasis, river blindness","ivermectin, moxidectin"
onychomycosis,undecylenic acid
"onychomycosis, fingernail","terbinafine, fluconazole, ciclopirox, itraconazole, ketoconazole, griseofulvin"
"onychomycosis, toenail","terbinafine, ciclopirox, fluconazole, ketoconazole, itraconazole, efinaconazole, griseofulvin, tavaborole"
oophorectomy,"estradiol, conjugated estrogens, conjugated estrogens / medroxyprogesterone, estropipate, esterified estrogens, ethinyl estradiol"
ophthalmic surgery,"ofloxacin, moxifloxacin, ciprofloxacin, levofloxacin, lidocaine, proparacaine, besifloxacin, gatifloxacin, ketorolac / phenylephrine, ophthalmic irrigation, intraocular"
ophthalmic surgical staining,trypan blue
ophthalmic viscoelastic agent,"sodium hyaluronate, sodium chondroitin sulfate / sodium hyaluronate"
opiate adjunct,promethazine
opiate dependence,"buprenorphine / naloxone, buprenorphine, naltrexone"
opiate dependence - induction,buprenorphine
opiate dependence - maintenance,buprenorphine
opiate withdrawal,"methadone, clonidine, methocarbamol, chlorpromazine, chlordiazepoxide, lofexidine"
opioid overdose,naloxone
opioid-induced constipation,"naloxegol, lubiprostone, methylnaltrexone, naldemedine"
"opisthorchis viverrini, liver fluke",praziquantel
oppositional defiant disorder,lisdexamfetamine
optic neuritis,corticotropin
oral allergy syndrome,epinephrine
oral thrush,"nystatin, fluconazole, clotrimazole, miconazole, gentian violet, ketoconazole, itraconazole, amphotericin b, posaconazole"
oral and dental conditions,"benzocaine, hydrogen peroxide"
orbicularis oculi,onabotulinumtoxinA
"organ transplant, rejection prophylaxis","tacrolimus, mycophenolate mofetil, cyclosporine, azathioprine, sirolimus, everolimus, basiliximab, cyclophosphamide, daclizumab"
"organ transplant, rejection reversal",tacrolimus
organophosphate poisoning,"atropine, atropine / pralidoxime, pralidoxime, tropicamide"
ornithosis,"chloramphenicol, tetracycline, doxycycline"
osteoarthritis,"meloxicam, diclofenac, naproxen, ibuprofen, celecoxib, chondroitin / glucosamine, etodolac, prednisone, aspirin, nabumetone, duloxetine"
osteogenesis imperfecta,calcitonin
osteogenic sarcoma,cisplatin
osteolytic bone lesions of multiple myeloma,"zoledronic acid, pamidronate, denosumab"
osteolytic bone metastases of solid tumors,"denosumab, zoledronic acid"
osteomalacia,"ergocalciferol, calcium lactate, calcium phosphate, tribasic"
osteopenia,"calcium carbonate, cholecalciferol / genistein / zinc glycinate"
osteopetrosis,interferon gamma-1b
osteoporosis,"alendronate, calcium / vitamin d, calcium carbonate, risedronate, denosumab, ibandronate, hydrochlorothiazide, raloxifene, calcitonin, estradiol, teriparatide, zoledronic acid"
osteosarcoma,"methotrexate, doxorubicin, cyclophosphamide, dactinomycin"
otitis externa,"hydrocortisone / neomycin / polymyxin b, ciprofloxacin / dexamethasone, acetic acid, acetic acid / hydrocortisone, ceftazidime, acetic acid / aluminum acetate, colistin sulfate / hydrocortisone / neomycin / thonzonium bromide"
otitis media,"amoxicillin, cefdinir, amoxicillin / clavulanate, azithromycin, cephalexin, ofloxacin, clarithromycin, sulfamethoxazole / trimethoprim, cefuroxime, hydrocortisone / neomycin / polymyxin b, levofloxacin, ciprofloxacin / dexamethasone, erythromycin"
ovarian cancer,"carboplatin, paclitaxel, doxorubicin liposomal, olaparib, doxorubicin, gemcitabine, cisplatin, methotrexate, topotecan, bevacizumab, melphalan"
ovarian cysts,"ethinyl estradiol / levonorgestrel, ethinyl estradiol / norgestimate"
overactive bladder,"darifenacin, onabotulinumtoxinA"
ovulation induction,"clomiphene, chorionic gonadotropin (hcg), follicle stimulating hormone, menotropins, cetrorelix"
pandas syndrome,fluoxetine
paget's disease,"alendronate, zoledronic acid, etidronate, risedronate, calcitonin, pamidronate"
